"ANNEE","intermediaire","optimiste","pessimiste"
"2015","1286847","1286847","1286847"
"2016","1306568","1295407","1312755"
"2017","1325493","1304954","1336807"
"2018","1343231","1313267","1359732"
"2019","1359741","1320305","1381425"
"2020","1375539","1326609","1402448"
"2021","1391211","1332733","1423340"
"2022","1408590","1340448","1445999"
"2023","1426872","1348977","1469609"
"2024","1446864","1359045","1495013"
"2025","1468015","1370111","1521691"
"2026","1490387","1382225","1549683"
"2027","1513583","1394975","1578631"
"2028","1537895","1408616","1608866"
"2029","1563605","1423354","1640718"
"2030","1590932","1439351","1674417"
"2031","1619718","1456483","1709887"
"2032","1650169","1474820","1747333"
"2033","1681591","1493747","1786078"
"2034","1712964","1512329","1825080"
"2035","1743542","1529930","1863525"
"2036","1773227","1546435","1901357"
"2037","1801743","1561626","1938265"
"2038","1829488","1575825","1974684"
"2039","1855621","1588349","2009701"
"2040","1880621","1599637","2043826"
"2041","1904214","1609444","2076776"
"2042","1924931","1616583","2106894"
"2043","1942594","1620926","2133904"
"2044","1956941","1622412","2157526"
"2045","1969040","1621899","2178904"
"2046","1979157","1619620","2198290"
"2047","1988267","1616500","2216691"
"2048","1996538","1612725","2234318"
"2049","2004232","1608556","2251371"
"2050","2011197","1603895","2267651"
