sexe;age;annee;gir;prestation;prevalence;lieu;pop;nb
Hommes;[60,65);2016;Ensemble;APAdom;0,00245994231654125;domicile;4064409;9998,21169083111
Hommes;[60,65);2016;Ensemble;APAetab;0,00206533536641159;établissement;4064409;8394,36765126156
Hommes;[60,65);2016;Ensemble;APA;0,00452527768295284;ensemble;4064409;18392,57934209267
Hommes;[65,70);2016;Ensemble;APAdom;0,00723017443905679;domicile;3951340;28568,87746802266
Hommes;[65,70);2016;Ensemble;APAetab;0,00456194161050848;établissement;3951340;18025,78236326657
Hommes;[65,70);2016;Ensemble;APA;0,01179211604956530;ensemble;3951340;46594,65983128935
Hommes;[70,75);2016;Ensemble;APAdom;0,01402517714761320;domicile;2784330;39050,72148741386
Hommes;[70,75);2016;Ensemble;APAetab;0,00746259189129591;établissement;2784330;20778,31848069194
Hommes;[70,75);2016;Ensemble;APA;0,02148776903890910;ensemble;2784330;59829,03996810577
Hommes;[75,80);2016;Ensemble;APAdom;0,02953990646975140;domicile;2143146;63308,33239102183
Hommes;[75,80);2016;Ensemble;APAetab;0,01470373322815830;établissement;2143146;31512,24705299455
Hommes;[75,80);2016;Ensemble;APA;0,04424363969790970;ensemble;2143146;94820,57944401637
Hommes;[80,85);2016;Ensemble;APAdom;0,06182976772415000;domicile;1885428;116575,57530060869
Hommes;[80,85);2016;Ensemble;APAetab;0,03204847726079320;établissement;1885428;60425,09638486280
Hommes;[80,85);2016;Ensemble;APA;0,09387824498494320;ensemble;1885428;177000,67168547149
Hommes;[85,90);2016;Ensemble;APAdom;0,12027089876678200;domicile;1307890;157301,10578808651
Hommes;[85,90);2016;Ensemble;APAetab;0,07950244452979480;établissement;1307890;103980,45217607332
Hommes;[85,90);2016;Ensemble;APA;0,19977334329657601;ensemble;1307890;261281,55796415880
Hommes;[90,95);2016;Ensemble;APAdom;0,18329165179389600;domicile;632008;115841,79026695662
Hommes;[90,95);2016;Ensemble;APAetab;0,19241308211391600;établissement;632008;121606,60720065182
Hommes;[90,95);2016;Ensemble;APA;0,37570473390781201;ensemble;632008;237448,39746760845
Hommes;[95,Inf];2016;Ensemble;APAdom;0,34500246218895197;domicile;176808;60999,19533470422
Hommes;[95,Inf];2016;Ensemble;APAetab;0,48566177307685798;établissement;176808;85868,88677417311
Hommes;[95,Inf];2016;Ensemble;APA;0,83066423526581001;ensemble;176808;146868,08210887734
Femmes;[60,65);2016;Ensemble;APAdom;0,00309169492590667;domicile;4064409;12565,91268210940
Femmes;[60,65);2016;Ensemble;APAetab;0,00155246331431444;établissement;4064409;6309,84586686944
Femmes;[60,65);2016;Ensemble;APA;0,00464415824022112;ensemble;4064409;18875,75854897888
Femmes;[65,70);2016;Ensemble;APAdom;0,01040795138181240;domicile;3951340;41125,35461301060
Femmes;[65,70);2016;Ensemble;APAetab;0,00377688054473936;établissement;3951340;14923,73917165042
Femmes;[65,70);2016;Ensemble;APA;0,01418483192655170;ensemble;3951340;56049,09378466079
Femmes;[70,75);2016;Ensemble;APAdom;0,02404577632475110;domicile;2784330;66951,37639429423
Femmes;[70,75);2016;Ensemble;APAetab;0,00784150229353404;établissement;2784330;21833,33008095563
Femmes;[70,75);2016;Ensemble;APA;0,03188727861828520;ensemble;2784330;88784,70647525003
Femmes;[75,80);2016;Ensemble;APAdom;0,05255485187168030;domicile;2143146;112632,72056938414
Femmes;[75,80);2016;Ensemble;APAetab;0,01853934162847090;établissement;2143146;39732,51585369090
Femmes;[75,80);2016;Ensemble;APA;0,07109419350015120;ensemble;2143146;152365,23642307505
Femmes;[80,85);2016;Ensemble;APAdom;0,10574056953299900;domicile;1885428;199366,23053346324
Femmes;[80,85);2016;Ensemble;APAetab;0,04589939173775180;établissement;1885428;86539,99836532591
Femmes;[80,85);2016;Ensemble;APA;0,15163996127075099;ensemble;1885428;285906,22889878950
Femmes;[85,90);2016;Ensemble;APAdom;0,17972934662163201;domicile;1307890;235066,21515296630
Femmes;[85,90);2016;Ensemble;APAetab;0,12194772684393700;établissement;1307890;159494,21246191676
Femmes;[85,90);2016;Ensemble;APA;0,30167707346556799;ensemble;1307890;394560,42761488172
Femmes;[90,95);2016;Ensemble;APAdom;0,23138075570896699;domicile;632008;146234,48865411282
Femmes;[90,95);2016;Ensemble;APAetab;0,26082512275934899;établissement;632008;164843,56418489065
Femmes;[90,95);2016;Ensemble;APA;0,49220587846831698;ensemble;632008;311078,05283900409
Femmes;[95,Inf];2016;Ensemble;APAdom;0,34834634024040800;domicile;176808;61590,41972522606
Femmes;[95,Inf];2016;Ensemble;APAetab;0,48670725299576600;établissement;176808;86053,73598767539
Femmes;[95,Inf];2016;Ensemble;APA;0,83505359323617401;ensemble;176808;147644,15571290144
Ensemble;[60,65);2016;Ensemble;APAdom;0,00279008630964289;domicile;4064409;11340,05190768935
Ensemble;[60,65);2016;Ensemble;APAetab;0,00179731648573033;établissement;4064409;7305,02930045072
Ensemble;[60,65);2016;Ensemble;APA;0,00458740279537322;ensemble;4064409;18645,08120814008
Ensemble;[65,70);2016;Ensemble;APAdom;0,00890303996966870;domicile;3951340;35178,93795375072
Ensemble;[65,70);2016;Ensemble;APAetab;0,00414866477578773;établissement;3951340;16392,78507516109
Ensemble;[65,70);2016;Ensemble;APA;0,01305170474545640;ensemble;3951340;51571,72302891169
Ensemble;[70,75);2016;Ensemble;APAdom;0,01939800537216840;domicile;2784330;54010,44829788964
Ensemble;[70,75);2016;Ensemble;APAetab;0,00766575544147237;établissement;2784330;21343,99284835476
Ensemble;[70,75);2016;Ensemble;APA;0,02706376081364080;ensemble;2784330;75354,44114624448
Ensemble;[75,80);2016;Ensemble;APAdom;0,04243577659579070;domicile;2143146;90946,06486816246
