prestation;gir;lieu;annee;age;nb;pop;prevalence;part;recale_gir;decomp6age;decomp8age
AidesMenag;Ensemble;domicile;2002;[60,65);3026,5799999999999;2666018;1,13524364801738e-03;0,06000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2002;[65,70);4539,8699999999999;2685792;1,69032821603460e-03;0,09000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2002;[70,75);7062,0200000000004;2574174;2,74341206150012e-03;0,14000000000000001;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2002;[75,80);10593,0299999999988;2150584;4,92565275292665e-03;0,20999999999999996;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2002;[80,85);10593,0299999999988;1440240;7,35504499250125e-03;0,20999999999999996;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2002;[85,Inf];14628,4699999999993;1123121;1,30248388196819e-02;0,28999999999999998;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[60,65);5869,6000000000004;2666018;2,20163554784701e-03;0,02000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[65,70);17608,7999999999993;2685792;6,55627837151946e-03;0,06000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[70,75);32282,7999999999993;2574174;1,25410325797712e-02;0,11000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[75,80);55761,1999999999971;2150584;2,59283989837179e-02;0,19000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[80,85);70435,1999999999971;1440240;4,89051824695884e-02;0,23999999999999999;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2002;[85,Inf];111522,3999999999942;1123121;9,92968700611955e-02;0,38000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[60,65);9249,8400000000001;2666018;3,46953396413678e-03;0,08000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[65,70);12718,5300000000007;2685792;4,73548584551596e-03;0,11000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[70,75);16187,2200000000012;2574174;6,28831617443110e-03;0,14000000000000001;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[75,80);18499,6800000000003;2150584;8,60216573730670e-03;0,16000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[80,85);18499,6800000000003;1440240;1,28448591901350e-02;0,16000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2002;[85,Inf];40468,0499999999956;1123121;3,60317810814685e-02;0,34999999999999998;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[60,65);6068,7399999999998;2666018;2,27633121756867e-03;0,02000000000000000;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[65,70);12137,4799999999996;2685792;4,51914370137375e-03;0,04000000000000000;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[70,75);21240,5900000000038;2574174;8,25141967870082e-03;0,07000000000000001;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[75,80);36412,4399999999951;2150584;1,69314195585943e-02;0,11999999999999998;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[80,85);60687,4000000000015;1440240;4,21370049436205e-02;0,20000000000000001;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2002;[85,Inf];166890,3500000000058;1123121;1,48595164724015e-01;0,55000000000000004;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[60,65);2853,1300000000001;2701115;1,05627861086996e-03;0,07000000000000001;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[65,70);3668,3099999999999;2670697;1,37354031550565e-03;0,09000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[70,75);5706,2600000000002;2573462;2,21734768183871e-03;0,14000000000000001;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[75,80);7744,2100000000000;2170161;3,56849560931194e-03;0,19000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[80,85);9374,5699999999997;1583209;5,92124602626690e-03;0,22999999999999998;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2003;[85,Inf];11412,5200000000004;1085077;1,05177051951152e-02;0,28000000000000003;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[60,65);8451,8600000000006;2701115;3,12902634652727e-03;0,02000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[65,70);21129,6500000000015;2670697;7,91166126295870e-03;0,05000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[70,75);46485,2300000000032;2573462;1,80633053839536e-02;0,11000000000000001;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[75,80);76066,7399999999907;2170161;3,50511966623674e-02;0,17999999999999997;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[80,85);114100,1100000000006;1583209;7,20688866725745e-02;0,27000000000000002;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2003;[85,Inf];156359,4100000000035;1085077;1,44099828860072e-01;0,37000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[60,65);8011,2900000000009;2701115;2,96591962948634e-03;0,07000000000000001;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[65,70);12589,1700000000001;2670697;4,71381440874798e-03;0,11000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[70,75);16022,5800000000017;2573462;6,22607988771546e-03;0,14000000000000001;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[75,80);18311,5200000000004;2170161;8,43786244430713e-03;0,16000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[80,85);20600,4599999999991;1583209;1,30118386138533e-02;0,17999999999999999;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2003;[85,Inf];38911,9800000000032;1085077;3,58610310604685e-02;0,34000000000000002;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[60,65);7071,9600000000000;2701115;2,61816323999534e-03;0,02000000000000000;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[65,70);14143,9200000000001;2670697;5,29596580967440e-03;0,04000000000000000;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[70,75);24751,8600000000006;2573462;9,61811753971887e-03;0,07000000000000001;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[75,80);42431,7600000000020;2170161;1,95523557929573e-02;0,12000000000000001;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[80,85);74255,5800000000017;1583209;4,69019440895043e-02;0,20999999999999999;FALSE;TRUE;FALSE
APAetab;Ensemble;établissement;2003;[85,Inf];190942,9200000000128;1085077;1,75971769745373e-01;0,54000000000000004;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[60,65);3321,9000000000001;2745892;1,20977081400142e-03;0,09000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[65,70);3321,9000000000001;2652896;1,25217875107053e-03;0,09000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[70,75);5167,4000000000005;2585613;1,99852027352895e-03;0,14000000000000001;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[75,80);7012,8999999999996;2195597;3,19407432238248e-03;0,19000000000000000;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[80,85);8858,3999999999996;1704515;5,19702085343925e-03;0,23999999999999999;FALSE;TRUE;FALSE
AidesMenag;Ensemble;domicile;2004;[85,Inf];9227,5000000000000;1095211;8,42531713067162e-03;0,25000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[60,65);9882,3199999999997;2745892;3,59894708167692e-03;0,02000000000000000;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[65,70);24705,8000000000029;2652896;9,31276612426571e-03;0,05000000000000001;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[70,75);54352,7600000000020;2585613;2,10212278480964e-02;0,11000000000000001;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[75,80);88940,8799999999901;2195597;4,05087454573858e-02;0,17999999999999999;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[80,85);143293,6399999999849;1704515;8,40671041322605e-02;0,28999999999999998;FALSE;TRUE;FALSE
APAdom;Ensemble;domicile;2004;[85,Inf];172940,5999999999767;1095211;1,57906193418437e-01;0,34999999999999998;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2004;[60,65);8205,4000000000015;2745892;2,98824571396107e-03;0,07000000000000001;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2004;[65,70);12894,2000000000007;2652896;4,86042423072748e-03;0,11000000000000000;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2004;[70,75);16410,8000000000029;2585613;6,34696685080095e-03;0,14000000000000001;FALSE;TRUE;FALSE
ASH;Ensemble;établissement;2004;[75,80);18755,2000000000007;2195597;8,54218693139041e-03;0,16000000000000000;FALSE;TRUE;FALSE
